2024-11-25 03:27:05 INFO  AllureListener.onTestStart - Test started: ui.LoginTest#loginFailureTest
2024-11-25 03:28:01 INFO  AllureListener.attachDOM - Capturing page DOM...
2024-11-25 03:28:01 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-25 03:28:01 INFO  AllureListener.onTestStart - Test started: ui.CreatePostTest#createPostTest
2024-11-25 03:28:04 INFO  AllureListener.afterInvocation - After method invocation: ui.CreatePostTest#createPostTest
2024-11-25 03:28:04 INFO  AllureListener.afterInvocation - Test finished successfully: createPostTest
2024-11-25 03:28:04 INFO  AllureListener.attachDOM - Capturing page DOM...
2024-11-25 03:28:04 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-25 03:28:05 INFO  AllureListener.onTestSuccess - Test passed: ui.CreatePostTest#createPostTest
2024-11-25 03:28:05 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-25 03:28:06 INFO  AllureListener.afterInvocation - After method invocation: ui.CreatePostTest#closeBrowser
2024-11-25 03:28:06 INFO  AllureListener.afterInvocation - Test finished successfully: closeBrowser
2024-11-25 03:28:06 INFO  AllureListener.attachDOM - Capturing page DOM...
2024-11-25 03:28:08 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-25 03:28:10 INFO  AllureListener.afterInvocation - After method invocation: ui.CreatePostTest#setup
2024-11-25 03:28:10 INFO  AllureListener.afterInvocation - Test finished successfully: setup
2024-11-25 03:28:10 INFO  AllureListener.attachDOM - Capturing page DOM...
2024-11-25 03:28:10 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-25 03:28:10 INFO  AllureListener.onTestStart - Test started: ui.CreatePostTest#createPostTest
2024-11-25 03:28:14 INFO  AllureListener.afterInvocation - After method invocation: ui.CreatePostTest#createPostTest
2024-11-25 03:28:14 INFO  AllureListener.afterInvocation - Test finished successfully: createPostTest
2024-11-25 03:28:14 INFO  AllureListener.attachDOM - Capturing page DOM...
2024-11-25 03:28:14 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-25 03:28:14 INFO  AllureListener.onTestSuccess - Test passed: ui.CreatePostTest#createPostTest
2024-11-25 03:28:14 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-25 03:28:15 INFO  AllureListener.afterInvocation - After method invocation: ui.CreatePostTest#closeBrowser
2024-11-25 03:28:15 INFO  AllureListener.afterInvocation - Test finished successfully: closeBrowser
2024-11-25 03:28:15 INFO  AllureListener.attachDOM - Capturing page DOM...
2024-11-25 03:28:18 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-26 23:36:20 INFO  AllureUIListener.onTestStart - Test started: ui.LoginTest#loginSuccessTest
2024-11-26 23:37:03 INFO  AllureUIListener.afterInvocation - After method invocation: ui.LoginTest#loginSuccessTest
2024-11-26 23:37:03 INFO  AllureUIListener.afterInvocation - Test finished successfully: loginSuccessTest
2024-11-26 23:37:03 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-26 23:37:03 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-26 23:37:03 INFO  AllureUIListener.onTestSuccess - Test passed: ui.LoginTest#loginSuccessTest
2024-11-26 23:37:03 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-26 23:37:04 INFO  AllureUIListener.afterInvocation - After method invocation: ui.LoginTest#closeBrowser
2024-11-26 23:37:04 INFO  AllureUIListener.afterInvocation - Test finished successfully: closeBrowser
2024-11-26 23:37:04 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-26 23:37:05 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:08 INFO  AllureUIListener.onTestStart - Test started: ui.MuseumTest#loginTest
2024-11-27 11:24:13 INFO  AllureUIListener.afterInvocation - After method invocation: ui.MuseumTest#loginTest
2024-11-27 11:24:13 INFO  AllureUIListener.afterInvocation - Test finished successfully: loginTest
2024-11-27 11:24:13 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:24:13 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:13 INFO  AllureUIListener.onTestSuccess - Test passed: ui.MuseumTest#loginTest
2024-11-27 11:24:13 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:14 INFO  AllureUIListener.onTestStart - Test started: ui.MuseumTest#createMuseum
2024-11-27 11:24:18 INFO  AllureUIListener.afterInvocation - After method invocation: ui.MuseumTest#createMuseum
2024-11-27 11:24:18 INFO  AllureUIListener.afterInvocation - Test finished successfully: createMuseum
2024-11-27 11:24:18 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:24:18 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:18 INFO  AllureUIListener.onTestSuccess - Test passed: ui.MuseumTest#createMuseum
2024-11-27 11:24:18 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:18 INFO  AllureUIListener.onTestStart - Test started: ui.MuseumTest#createMuseum
2024-11-27 11:24:22 INFO  AllureUIListener.afterInvocation - After method invocation: ui.MuseumTest#createMuseum
2024-11-27 11:24:22 INFO  AllureUIListener.afterInvocation - Test finished successfully: createMuseum
2024-11-27 11:24:22 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:24:22 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:22 INFO  AllureUIListener.onTestSuccess - Test passed: ui.MuseumTest#createMuseum
2024-11-27 11:24:22 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:22 INFO  AllureUIListener.onTestStart - Test started: ui.MuseumTest#deleteMuseumTest
2024-11-27 11:24:25 INFO  AllureUIListener.afterInvocation - After method invocation: ui.MuseumTest#deleteMuseumTest
2024-11-27 11:24:25 INFO  AllureUIListener.afterInvocation - Test finished successfully: deleteMuseumTest
2024-11-27 11:24:25 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:24:25 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:25 INFO  AllureUIListener.onTestSuccess - Test passed: ui.MuseumTest#deleteMuseumTest
2024-11-27 11:24:25 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:25 INFO  AllureUIListener.onTestStart - Test started: ui.MuseumTest#logoutTest
2024-11-27 11:24:26 INFO  AllureUIListener.afterInvocation - After method invocation: ui.MuseumTest#logoutTest
2024-11-27 11:24:26 INFO  AllureUIListener.afterInvocation - Test finished successfully: logoutTest
2024-11-27 11:24:26 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:24:26 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:26 INFO  AllureUIListener.onTestSuccess - Test passed: ui.MuseumTest#logoutTest
2024-11-27 11:24:26 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:28 INFO  AllureUIListener.afterInvocation - After method invocation: ui.MuseumTest#closeBrowser
2024-11-27 11:24:28 INFO  AllureUIListener.afterInvocation - Test finished successfully: closeBrowser
2024-11-27 11:24:28 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:24:30 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:41 INFO  AllureUIListener.onTestStart - Test started: ui.PostTest#loginTest
2024-11-27 11:24:47 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#loginTest
2024-11-27 11:24:47 INFO  AllureUIListener.afterInvocation - Test finished successfully: loginTest
2024-11-27 11:24:47 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:24:47 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:48 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PostTest#loginTest
2024-11-27 11:24:48 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:48 INFO  AllureUIListener.onTestStart - Test started: ui.PostTest#createPostTest
2024-11-27 11:24:53 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#createPostTest
2024-11-27 11:24:53 INFO  AllureUIListener.afterInvocation - Test finished successfully: createPostTest
2024-11-27 11:24:53 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:24:53 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:54 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PostTest#createPostTest
2024-11-27 11:24:54 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:54 INFO  AllureUIListener.onTestStart - Test started: ui.PostTest#createPostTest
2024-11-27 11:24:56 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#createPostTest
2024-11-27 11:24:56 INFO  AllureUIListener.afterInvocation - Test finished successfully: createPostTest
2024-11-27 11:24:56 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:24:56 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:56 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PostTest#createPostTest
2024-11-27 11:24:56 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:56 INFO  AllureUIListener.onTestStart - Test started: ui.PostTest#updatePostTest
2024-11-27 11:25:04 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#updatePostTest
2024-11-27 11:25:04 INFO  AllureUIListener.afterInvocation - Test finished successfully: updatePostTest
2024-11-27 11:25:04 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:25:04 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:25:04 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PostTest#updatePostTest
2024-11-27 11:25:04 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:25:05 INFO  AllureUIListener.onTestStart - Test started: ui.PostTest#DeletePostTest
2024-11-27 11:25:06 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#DeletePostTest
2024-11-27 11:25:06 INFO  AllureUIListener.afterInvocation - Test finished successfully: DeletePostTest
2024-11-27 11:25:06 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:25:06 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:25:06 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PostTest#DeletePostTest
2024-11-27 11:25:06 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:25:06 INFO  AllureUIListener.onTestStart - Test started: ui.PostTest#logoutTest
2024-11-27 11:25:06 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#logoutTest
2024-11-27 11:25:06 INFO  AllureUIListener.afterInvocation - Test finished successfully: logoutTest
2024-11-27 11:25:06 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:25:06 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:25:07 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PostTest#logoutTest
2024-11-27 11:25:07 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:25:08 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#closeBrowser
2024-11-27 11:25:08 INFO  AllureUIListener.afterInvocation - Test finished successfully: closeBrowser
2024-11-27 11:25:08 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:25:11 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:25:18 INFO  AllureUIListener.onTestStart - Test started: ui.PartnerTest#loginTest
2024-11-27 11:25:23 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PartnerTest#loginTest
2024-11-27 11:25:23 INFO  AllureUIListener.afterInvocation - Test finished successfully: loginTest
2024-11-27 11:25:23 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:25:23 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:25:23 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PartnerTest#loginTest
2024-11-27 11:25:23 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:25:24 INFO  AllureUIListener.onTestStart - Test started: ui.PartnerTest#createPartnerTest
2024-11-27 11:25:28 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PartnerTest#createPartnerTest
2024-11-27 11:25:28 INFO  AllureUIListener.afterInvocation - Test finished successfully: createPartnerTest
2024-11-27 11:25:28 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:25:28 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:25:28 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PartnerTest#createPartnerTest
2024-11-27 11:25:28 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:25:28 INFO  AllureUIListener.onTestStart - Test started: ui.PartnerTest#createPartnerTest
2024-11-27 11:25:30 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PartnerTest#createPartnerTest
2024-11-27 11:25:30 INFO  AllureUIListener.afterInvocation - Test finished successfully: createPartnerTest
2024-11-27 11:25:30 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:25:30 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:25:31 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PartnerTest#createPartnerTest
2024-11-27 11:25:31 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:25:31 INFO  AllureUIListener.onTestStart - Test started: ui.PartnerTest#deletePartnerTest
2024-11-27 11:25:33 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PartnerTest#deletePartnerTest
2024-11-27 11:25:33 INFO  AllureUIListener.afterInvocation - Test finished successfully: deletePartnerTest
2024-11-27 11:25:33 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:25:33 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:25:33 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PartnerTest#deletePartnerTest
2024-11-27 11:25:33 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:25:33 INFO  AllureUIListener.onTestStart - Test started: ui.PartnerTest#logoutTest
2024-11-27 11:25:33 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PartnerTest#logoutTest
2024-11-27 11:25:33 INFO  AllureUIListener.afterInvocation - Test finished successfully: logoutTest
2024-11-27 11:25:33 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:25:33 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:25:34 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PartnerTest#logoutTest
2024-11-27 11:25:34 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:25:35 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PartnerTest#closeBrowser
2024-11-27 11:25:35 INFO  AllureUIListener.afterInvocation - Test finished successfully: closeBrowser
2024-11-27 11:25:35 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:25:38 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:28:39 INFO  AllureUIListener.onTestStart - Test started: ui.PostTest#loginTest
2024-11-27 13:28:46 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#loginTest
2024-11-27 13:28:46 INFO  AllureUIListener.afterInvocation - Test finished successfully: loginTest
2024-11-27 13:28:46 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 13:28:46 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:28:46 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PostTest#loginTest
2024-11-27 13:28:46 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:28:46 INFO  AllureUIListener.onTestStart - Test started: ui.PostTest#createPostTest
2024-11-27 13:28:51 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#createPostTest
2024-11-27 13:28:51 INFO  AllureUIListener.afterInvocation - Test finished successfully: createPostTest
2024-11-27 13:28:51 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 13:28:51 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:28:51 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PostTest#createPostTest
2024-11-27 13:28:51 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:28:51 INFO  AllureUIListener.onTestStart - Test started: ui.PostTest#createPostTest
2024-11-27 13:28:54 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#createPostTest
2024-11-27 13:28:54 INFO  AllureUIListener.afterInvocation - Test finished successfully: createPostTest
2024-11-27 13:28:54 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 13:28:55 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:28:55 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PostTest#createPostTest
2024-11-27 13:28:55 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:28:55 INFO  AllureUIListener.onTestStart - Test started: ui.PostTest#createPostTest
2024-11-27 13:28:57 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#createPostTest
2024-11-27 13:28:57 INFO  AllureUIListener.afterInvocation - Test finished successfully: createPostTest
2024-11-27 13:28:57 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 13:28:57 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:28:57 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PostTest#createPostTest
2024-11-27 13:28:57 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:28:58 INFO  AllureUIListener.onTestStart - Test started: ui.PostTest#updatePostTest
2024-11-27 13:29:04 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#updatePostTest
2024-11-27 13:29:04 INFO  AllureUIListener.afterInvocation - Test finished successfully: updatePostTest
2024-11-27 13:29:04 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 13:29:04 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:29:04 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PostTest#updatePostTest
2024-11-27 13:29:04 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:29:04 INFO  AllureUIListener.onTestStart - Test started: ui.PostTest#DeletePostTest
2024-11-27 13:29:05 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#DeletePostTest
2024-11-27 13:29:05 INFO  AllureUIListener.afterInvocation - Test finished successfully: DeletePostTest
2024-11-27 13:29:05 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 13:29:05 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:29:05 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PostTest#DeletePostTest
2024-11-27 13:29:05 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:29:06 INFO  AllureUIListener.onTestStart - Test started: ui.PostTest#logoutTest
2024-11-27 13:29:06 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#logoutTest
2024-11-27 13:29:06 INFO  AllureUIListener.afterInvocation - Test finished successfully: logoutTest
2024-11-27 13:29:06 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 13:29:06 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:29:06 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PostTest#logoutTest
2024-11-27 13:29:06 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:29:08 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#closeBrowser
2024-11-27 13:29:08 INFO  AllureUIListener.afterInvocation - Test finished successfully: closeBrowser
2024-11-27 13:29:08 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 13:29:10 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
